ID,POTS1,POTS2,POTS3,POTS4,POTS5,POTS6,POTS7,POTS8,POTS9,POTS10,POTS11,POTS12,POTS13,POTS14,POTS15,POTS16,POTS17,POTS18,POTS19,POTS20,POTS21,POTS22,POTS23,POTS24
1,2,4,7,7,4,7,3,5,2,4,4,4,5,5,5,5,6,5,5,6,6,6,6,7
2,4,6,7,6,4,4,4,4,3,7,4,4,3,4,6,3,5,2,5,3,3,4,5,7
3,4,6,6,3,2,4,5,4,2,4,5,2,4,4,4,3,6,1,4,5,2,4,5,6
4,2,7,7,7,2,4,6,4,6,7,2,4,4,6,6,4,2,2,3,6,6,6,6,2
5,5,7,7,7,2,6,2,3,1,6,7,1,1,1,7,6,7,3,7,3,2,7,4,7
6,2,6,7,7,5,6,6,2,3,7,3,4,6,6,7,5,7,3,6,6,5,,4,6
7,2,7,7,7,5,5,4,4,3,6,4,4,5,5,6,6,7,5,7,6,5,6,6,6
8,7,7,7,6,7,,1,4,4,,4,4,4,7,7,7,7,7,7,7,7,7,7,7
9,2,6,6,6,5,6,4,4,2,6,3,4,3,6,6,6,6,4,6,5,4,6,5,5
10,2,6,7,7,4,4,3,5,7,7,2,5,6,7,7,7,3,4,4,5,6,6,7,3
11,6,7,7,7,3,4,5,6,2,6,5,5,4,5,6,6,7,4,6,4,6,6,4,7
12,4,6,6,6,3,6,6,5,4,5,4,4,4,3,4,5,6,4,4,4,4,5,4,3
13,2,6,6,5,6,6,3,5,6,6,3,6,6,6,6,6,5,6,5,6,6,6,6,5
14,2,7,6,6,5,7,2,6,1,7,3,6,4,5,6,4,6,7,6,5,5,4,7,6
15,4,6,7,7,6,7,4,6,5,6,4,5,7,6,6,6,7,6,6,5,5,6,5,7
16,2,7,7,7,3,6,5,6,1,7,5,5,5,6,6,4,7,3,6,4,5,7,4,7
17,4,7,7,7,5,7,5,7,1,7,4,4,7,7,7,5,7,6,7,7,7,7,4,7
18,1,4,7,7,2,5,4,2,2,3,5,6,7,7,7,7,3,4,4,4,5,5,5,4
19,4,5,7,3,3,7,4,3,3,3,,4,,2,5,4,3,3,5,3,2,5,,4
20,2,5,7,7,7,3,2,7,2,7,1,7,7,7,7,7,7,7,6,,5,5,5,5
21,2,6,6,6,6,6,4,5,2,2,2,6,5,6,6,6,6,5,6,4,6,6,5,6
22,2,7,6,7,6,6,4,4,2,5,5,6,4,7,7,7,3,4,6,6,4,6,6,4
23,3,6,7,6,4,6,2,6,2,6,3,6,4,6,7,7,7,4,6,6,3,5,7,5
24,4,6,6,6,3,7,5,3,4,4,5,5,3,6,6,4,6,4,6,4,5,6,4,4
25,1,6,7,7,5,7,3,5,3,6,2,7,7,7,7,6,7,6,7,5,6,6,5,6
26,6,7,7,6,6,5,4,6,3,7,4,6,7,7,7,6,7,5,5,4,6,6,6,6
27,4,6,7,6,3,3,2,4,1,6,5,4,4,4,7,4,6,4,6,5,5,5,4,7
28,5,6,7,6,5,7,6,4,2,6,3,4,2,3,6,4,4,6,6,4,6,6,4,4
29,6,6,4,4,6,,4,3,1,6,3,6,4,7,7,7,4,4,6,6,,6,6,4
30,5,5,6,4,5,6,4,3,6,5,3,5,5,5,5,5,2,3,5,4,5,7,6,4
31,4,6,7,5,4,5,4,3,3,5,3,6,6,6,6,7,6,4,6,5,5,6,4,7
32,4,6,7,7,6,7,4,5,3,6,5,4,6,7,7,5,4,6,6,7,7,6,6,7
33,4,5,7,6,7,7,4,4,2,5,6,5,3,6,5,5,6,5,5,5,5,4,4,4
34,3,6,6,5,3,4,3,5,1,4,3,4,6,5,6,6,2,2,4,6,6,5,3,6
35,4,7,7,7,3,5,5,4,1,7,5,4,2,4,5,5,5,1,7,4,5,4,4,7
36,2,6,7,5,5,6,5,6,1,4,2,5,4,6,6,6,6,6,6,6,5,5,6,5
37,3,7,7,6,2,7,5,4,4,6,5,4,4,4,7,7,7,1,4,4,6,6,6,7
38,4,6,7,4,4,6,5,6,2,6,5,4,5,6,6,6,6,5,3,7,7,7,6,6
39,4,5,7,6,3,5,5,2,1,7,5,3,4,2,6,5,3,6,5,4,4,5,4,7
